,Broad Apps,Niche Apps
Education,67,207
Game Puzzle,56,213
Personalization,72,196
Game Role Playing,196,62
Finance,52,198
Health And Fitness,27,223
Game Simulation,93,154
Business,48,199
Game Educational,40,203
Medical,39,204
Game Casual,44,192
Sports,79,157
Game Card,156,73
Game Arcade,93,135
Game Strategy,168,60
Productivity,69,153
Music And Audio,53,167
Game Adventure,35,184
Maps And Navigation,47,172
Entertainment,45,173
Tools,44,173
Books And Reference,135,78
Travel And Local,64,147
Lifestyle,59,151
Game Sports,20,189
Communication,106,102
Game Board,69,138
Weather,60,144
Food And Drink,68,136
Photography,66,136
Video Players,118,67
Game Racing,38,145
Auto And Vehicles,33,136
Art And Design,32,135
Game Word,75,85
News And Magazines,60,99
Social,29,109
Shopping,67,68
Parenting,46,79
Game Trivia,65,58
Game Casino,69,47
House And Home,33,82
Game Music,41,74
Dating,85,13
Libraries And Demo,72,20
Events,32,50
Beauty,52,29
Comics,57,18
Game Action,12,11
